/cmlscratch/xliu1231/anaconda3/lib/python3.7/site-packages/torch/distributed/launch.py:186: FutureWarning: The module torch.distributed.launch is deprecated
and will be removed in future. Use torchrun.
Note that --use_env is set by default in torchrun.
If your script expects `--local_rank` argument to be set, please
change it to read from `os.environ['LOCAL_RANK']` instead. See 
https://pytorch.org/docs/stable/distributed.html#launch-utility for 
further instructions

  FutureWarning,
WARNING:torch.distributed.run:
*****************************************
Setting OMP_NUM_THREADS environment variable for each process to be 1 in default, to avoid your system being overloaded, please further tune the variable for optimal performance in your application as needed. 
*****************************************
model: vae
dataset: CelebA
batch size is 128
Warning:  apex was installed without --cpp_ext.  Falling back to Python flatten and unflatten.
Warning:  apex was installed without --cpp_ext.  Falling back to Python flatten and unflatten.
Warning:  apex was installed without --cpp_ext.  Falling back to Python flatten and unflatten.
Warning:  apex was installed without --cpp_ext.  Falling back to Python flatten and unflatten.
# of training samples:  50688
Epoch: [2][210/396]	Time 0.062 (0.058)	Speed 8266.659 (8888.600)	Loss 0.18267 (0.1869)	
Epoch: [2][220/396]	Time 0.056 (0.058)	Speed 9072.693 (8896.806)	Loss 0.18869 (0.1870)	
Epoch: [2][230/396]	Time 0.053 (0.057)	Speed 9643.641 (8926.863)	Loss 0.18307 (0.1868)	
Epoch: [2][240/396]	Time 0.066 (0.058)	Speed 7764.918 (8871.549)	Loss 0.18601 (0.1868)	
Epoch: [2][250/396]	Time 0.056 (0.058)	Speed 9177.869 (8883.409)	Loss 0.17759 (0.1864)	
Epoch: [2][260/396]	Time 0.066 (0.058)	Speed 7799.068 (8836.158)	Loss 0.17610 (0.1860)	
Epoch: [2][270/396]	Time 0.047 (0.058)	Speed 10810.742 (8896.340)	Loss 0.17796 (0.1857)	
Epoch: [2][280/396]	Time 0.066 (0.058)	Speed 7700.019 (8847.248)	Loss 0.18483 (0.1857)	
Epoch: [2][290/396]	Time 0.050 (0.058)	Speed 10139.866 (8886.311)	Loss 0.18451 (0.1856)	
Epoch: [2][300/396]	Time 0.071 (0.058)	Speed 7248.056 (8819.860)	Loss 0.18640 (0.1857)	
Epoch: [2][310/396]	Time 0.046 (0.058)	Speed 11135.513 (8879.424)	Loss 0.18281 (0.1856)	
Epoch: [2][320/396]	Time 0.070 (0.058)	Speed 7339.684 (8821.592)	Loss 0.18362 (0.1855)	
Epoch: [2][330/396]	Time 0.050 (0.058)	Speed 10163.390 (8857.027)	Loss 0.17859 (0.1853)	
Epoch: [2][340/396]	Time 0.068 (0.058)	Speed 7550.152 (8812.164)	Loss 0.18037 (0.1852)	
Epoch: [2][350/396]	Time 0.051 (0.058)	Speed 10012.391 (8842.449)	Loss 0.18142 (0.1850)	
Epoch: [2][360/396]	Time 0.061 (0.058)	Speed 8396.079 (8829.410)	Loss 0.17165 (0.1847)	
Epoch: [2][370/396]	Time 0.048 (0.058)	Speed 10626.935 (8869.960)	Loss 0.17607 (0.1844)	
Epoch: [2][380/396]	Time 0.068 (0.058)	Speed 7529.070 (8828.583)	Loss 0.17487 (0.1842)	
Epoch: [2][390/396]	Time 0.046 (0.058)	Speed 11221.784 (8877.126)	Loss 0.17765 (0.1840)	
[Training] Epoch:2 total_time: 22.777
Epoch: [3][10/396]	Time 0.089 (0.089)	Speed 5731.867 (5731.867)	Loss 0.18010 (0.1801)	
Epoch: [3][20/396]	Time 0.062 (0.076)	Speed 8261.221 (6767.944)	Loss 0.18029 (0.1802)	
Epoch: [3][30/396]	Time 0.045 (0.065)	Speed 11500.124 (7843.829)	Loss 0.17918 (0.1799)	
Epoch: [3][40/396]	Time 0.059 (0.064)	Speed 8671.663 (8035.607)	Loss 0.18098 (0.1801)	
Epoch: [3][50/396]	Time 0.053 (0.062)	Speed 9694.542 (8320.364)	Loss 0.17364 (0.1788)	
Epoch: [3][60/396]	Time 0.056 (0.061)	Speed 9132.096 (8445.481)	Loss 0.16976 (0.1773)	
Epoch: [3][70/396]	Time 0.054 (0.060)	Speed 9555.431 (8587.991)	Loss 0.17096 (0.1764)	
Epoch: [3][80/396]	Time 0.056 (0.059)	Speed 9131.797 (8652.398)	Loss 0.17031 (0.1757)	
Epoch: [3][90/396]	Time 0.058 (0.059)	Speed 8835.985 (8672.419)	Loss 0.17463 (0.1755)	
Epoch: [3][100/396]	Time 0.055 (0.059)	Speed 9294.993 (8730.898)	Loss 0.17502 (0.1755)	
Epoch: [3][110/396]	Time 0.065 (0.059)	Speed 7933.436 (8651.837)	Loss 0.17085 (0.1751)	
Epoch: [3][120/396]	Time 0.051 (0.059)	Speed 9995.809 (8749.875)	Loss 0.17542 (0.1751)	
Epoch: [3][130/396]	Time 0.068 (0.059)	Speed 7524.409 (8641.612)	Loss 0.17588 (0.1752)	
Epoch: [3][140/396]	Time 0.052 (0.059)	Speed 9769.478 (8713.465)	Loss 0.16984 (0.1748)	
Epoch: [3][150/396]	Time 0.068 (0.059)	Speed 7510.575 (8621.412)	Loss 0.16825 (0.1743)	
Epoch: [3][160/396]	Time 0.053 (0.059)	Speed 9603.426 (8676.866)	Loss 0.17354 (0.1743)	
Epoch: [3][170/396]	Time 0.066 (0.059)	Speed 7755.348 (8616.639)	Loss 0.17222 (0.1742)	
Epoch: [3][180/396]	Time 0.048 (0.059)	Speed 10766.607 (8713.303)	Loss 0.17590 (0.1743)	
Epoch: [3][190/396]	Time 0.066 (0.059)	Speed 7729.544 (8655.325)	Loss 0.16985 (0.1740)	
Epoch: [3][200/396]	Time 0.048 (0.059)	Speed 10600.057 (8735.457)	Loss 0.17190 (0.1739)	
Epoch: [3][210/396]	Time 0.067 (0.059)	Speed 7634.132 (8675.856)	Loss 0.17095 (0.1738)	
Epoch: [3][220/396]	Time 0.050 (0.059)	Speed 10215.620 (8735.707)	Loss 0.16725 (0.1735)	
Epoch: [3][230/396]	Time 0.068 (0.059)	Speed 7526.437 (8675.105)	Loss 0.17342 (0.1735)	
Epoch: [3][240/396]	Time 0.048 (0.059)	Speed 10601.455 (8741.286)	Loss 0.17120 (0.1734)	
Epoch: [3][250/396]	Time 0.065 (0.059)	Speed 7830.647 (8700.813)	Loss 0.17512 (0.1735)	
Epoch: [3][260/396]	Time 0.052 (0.059)	Speed 9886.397 (8741.130)	Loss 0.17305 (0.1734)	
Epoch: [3][270/396]	Time 0.066 (0.059)	Speed 7739.427 (8699.428)	Loss 0.17033 (0.1733)	
Epoch: [3][280/396]	Time 0.050 (0.059)	Speed 10160.928 (8744.348)	Loss 0.16822 (0.1731)	
Epoch: [3][290/396]	Time 0.065 (0.059)	Speed 7903.148 (8712.371)	Loss 0.17278 (0.1731)	
Epoch: [3][300/396]	Time 0.050 (0.058)	Speed 10170.446 (8754.205)	Loss 0.16997 (0.1730)	
Epoch: [3][310/396]	Time 0.065 (0.059)	Speed 7853.677 (8721.944)	Loss 0.17862 (0.1732)	
Epoch: [3][320/396]	Time 0.052 (0.059)	Speed 9795.413 (8751.917)	Loss 0.16893 (0.1731)	
Epoch: [3][330/396]	Time 0.062 (0.059)	Speed 8296.751 (8737.391)	Loss 0.16803 (0.1729)	
Epoch: [3][340/396]	Time 0.049 (0.058)	Speed 10416.451 (8779.012)	Loss 0.16837 (0.1728)	
Epoch: [3][350/396]	Time 0.066 (0.059)	Speed 7740.738 (8745.497)	Loss 0.16946 (0.1727)	
Epoch: [3][360/396]	Time 0.046 (0.058)	Speed 11185.970 (8798.821)	Loss 0.16552 (0.1725)	
Epoch: [3][370/396]	Time 0.064 (0.058)	Speed 8039.598 (8776.421)	Loss 0.16436 (0.1723)	
Epoch: [3][380/396]	Time 0.056 (0.058)	Speed 9066.258 (8783.810)	Loss 0.16752 (0.1721)	
Epoch: [3][390/396]	Time 0.055 (0.058)	Speed 9316.422 (8796.705)	Loss 0.16162 (0.1719)	
[Training] Epoch:3 total_time: 22.999
Epoch: [4][10/396]	Time 0.085 (0.085)	Speed 6000.745 (6000.745)	Loss 0.16910 (0.1691)	
Epoch: [4][20/396]	Time 0.062 (0.073)	Speed 8322.451 (6973.431)	Loss 0.17036 (0.1697)	
